,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
0,../data/texts/23.txt,"1 3 ounces chocolate (prepared hot, cooled)",ounce chocolate prepared hot cooled,ounce chocolate prepared hot cooled,Component Match,'hot chocolate food product:FOODON_00001246'
0,../data/texts/23.txt,"1 3 ounces chocolate (prepared hot, cooled)",ounce chocolate prepared hot cooled,ounce chocolate prepared hot cooled,Component Match, 'ounce:NCIT_C48519'
0,../data/texts/23.txt,"1 3 ounces chocolate (prepared hot, cooled)",ounce chocolate prepared hot cooled,ounce chocolate prepared hot cooled,Component Match, 'prepared seafood product:FOODON_00002471'
1,../data/texts/23.txt,2 0.75 ounces creme de cacao (dark),ounce creme de cacao dark,ounce creme de cacao dark,Component Match,'cacao food product:FOODON_00001215'
1,../data/texts/23.txt,2 0.75 ounces creme de cacao (dark),ounce creme de cacao dark,ounce creme de cacao dark,Component Match, 'ounce:NCIT_C48519'
2,../data/texts/23.txt,3 0.75 ounces vanilla vodka,ounce vanilla vodka,ounce vanilla vodka,Component Match,'ounce:NCIT_C48519'
2,../data/texts/23.txt,3 0.75 ounces vanilla vodka,ounce vanilla vodka,ounce vanilla vodka,Component Match, 'vanilla:NCBITAXON_51238'
2,../data/texts/23.txt,3 0.75 ounces vanilla vodka,ounce vanilla vodka,ounce vanilla vodka,Component Match, 'vodka:FOODON_03305518'
3,../data/texts/23.txt,4 1 ounce Kahlua,ounce kahlua,ounce kahlua,Component Match,'ounce:NCIT_C48519'
4,../data/texts/23.txt,5 6 mini marshmallows,mini marshmallow,mini marshmallow {althaea officinalis},Component Match,'marshmallow:FOODON_03305639'
0,../data/texts/26.txt,1 5 pounds potatoes (cubed),pound potato cubed,pound potato {solanum tuberosum} cubed,Component Match,'potato (whole
0,../data/texts/26.txt,1 5 pounds potatoes (cubed),pound potato cubed,pound potato {solanum tuberosum} cubed,Component Match, raw):FOODON_03301449'
0,../data/texts/26.txt,1 5 pounds potatoes (cubed),pound potato cubed,pound potato {solanum tuberosum} cubed,Component Match, 'pound:NCIT_C48531'
1,../data/texts/26.txt,2 8 eggs (hard boiled & chopped),egg hard boiled and chopped,egg hard boiled and chopped,Component Match,'egg food product:FOODON_00001274'
1,../data/texts/26.txt,2 8 eggs (hard boiled & chopped),egg hard boiled and chopped,egg hard boiled and chopped,Component Match, 'food (boiled):FOODON_00002688'
1,../data/texts/26.txt,2 8 eggs (hard boiled & chopped),egg hard boiled and chopped,egg hard boiled and chopped,Component Match, 'hard:PATO_0000386'
2,../data/texts/26.txt,3 3 stalks celery (chopped),stalk celery chopped,stalk celery {apium graveolens dulce group} chopped,Component Match,'celery stalk (whole):FOODON_00003411'
3,../data/texts/26.txt,4 15 ounces mayo,ounce mayonnaise,ounce mayonnaise,Component Match,'mayonnaise:FOODON_03301440'
3,../data/texts/26.txt,4 15 ounces mayo,ounce mayonnaise,ounce mayonnaise,Component Match, 'ounce:NCIT_C48519'
4,../data/texts/26.txt,5 2 teaspoons salt,teaspoon salt,teaspoon salt,Component Match,'salt:CHEBI_24866'
0,../data/texts/40.txt,1 3 tablespoons kosher salt (must be kosher!),tablespoon kosher salt must!,tablespoon kosher salt must be!,Component Match,'31830 - juice
0,../data/texts/40.txt,1 3 tablespoons kosher salt (must be kosher!),tablespoon kosher salt must!,tablespoon kosher salt must be!,Component Match, grape (efsa foodex2):FOODON_03543183'
0,../data/texts/40.txt,1 3 tablespoons kosher salt (must be kosher!),tablespoon kosher salt must!,tablespoon kosher salt must be!,Component Match, 'salt:CHEBI_24866'
1,../data/texts/40.txt,2 1 1/2 tablespoons brown sugar,tablespoon brown sugar,tablespoon brown sugar,Component Match,'brown sugar:FOODON_03420156'
2,../data/texts/40.txt,3 1 orange zested,orange zested,orange zested,Component Match,'orange (whole
2,../data/texts/40.txt,3 1 orange zested,orange zested,orange zested,Component Match, raw):FOODON_03309832'
3,../data/texts/40.txt,4 1 teaspoon black pepper,teaspoon black pepper,teaspoon black pepper,Component Match,'black pepper (whole or parts):FOODON_03000242'
4,../data/texts/40.txt,5 1 tablespoon fresh thyme leaves,tablespoon fresh thyme leaves,tablespoon fresh thyme {thymus vulgaris} leaves,Component Match,'food (fresh):FOODON_00002457'
4,../data/texts/40.txt,5 1 tablespoon fresh thyme leaves,tablespoon fresh thyme leaves,tablespoon fresh thyme {thymus vulgaris} leaves,Component Match, 'thyme food product:FOODON_00002312'
5,../data/texts/40.txt,6 12 pounds turkey (completely defrosted),pound turkey completely defrosted,pound turkey {meleagris gallopavo} completely defrosted,Component Match,'pound:NCIT_C48531'
