,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
0,../data/AL/32.ann,1 bread,bread,bread,Full Term Match,'bread and similar products (eurofir):FOODON_03400817'
1,../data/AL/32.ann,2 American cheese,american cheese,american cheese,Component Match,'american:EFO_0003151'
1,../data/AL/32.ann,2 American cheese,american cheese,american cheese,Component Match, 'cheese food product:FOODON_00001013'
2,../data/AL/32.ann,3 mayonnaise,mayonnaise,mayonnaise,Full Term Match,'mayonnaise:FOODON_03301440'
0,../data/AL/2.ann,1 coconuts,coconut,coconut,Full Term Match,'coconut (whole):FOODON_00003449'
1,../data/AL/2.ann,2 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
2,../data/AL/2.ann,3 gin,gin,gin,Full Term Match,'gin:FOODON_03309491'
3,../data/AL/2.ann,4 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
4,../data/AL/2.ann,5 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
5,../data/AL/2.ann,6 nutmeg,nutmeg,nutmeg {myristica fragrans},Full Term Match,'nutmeg seed (ground):FOODON_03301528'
0,../data/AL/46.ann,1 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
1,../data/AL/46.ann,2 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
2,../data/AL/46.ann,3 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
3,../data/AL/46.ann,4 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
4,../data/AL/46.ann,5 chives,chive,chive {allium schoenoprasum},Full Term Match,'chive leaf (whole
4,../data/AL/46.ann,5 chives,chive,chive {allium schoenoprasum},Full Term Match, raw):FOODON_03311167'
0,../data/AL/45.ann,1 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
1,../data/AL/45.ann,2 margarine,margarine,margarine,Full Term Match,'margarine:FOODON_03301672'
2,../data/AL/45.ann,3 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
3,../data/AL/45.ann,4 vegetables,vegetable,vegetable,Full Term Match,'vegetable (whole or parts):FOODON_03315308'
4,../data/AL/45.ann,5 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
