,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
0,../data/AL/32.ann,1 slices,slice,slice,No Match,
1,../data/AL/32.ann,2 slice,slice,slice,No Match,
2,../data/AL/32.ann,3 tablespoon,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
0,../data/AL/2.ann,1 cup,cup,cup,No Match,
1,../data/AL/2.ann,2 cup,cup,cup,No Match,
2,../data/AL/2.ann,3 tablespoons,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
3,../data/AL/2.ann,4 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
4,../data/AL/2.ann,5 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
0,../data/AL/46.ann,1 tablespoon,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
0,../data/AL/45.ann,1 tablespoon,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
1,../data/AL/45.ann,2 tablespoon,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
2,../data/AL/45.ann,3 cup,cup,cup,No Match,
3,../data/AL/45.ann,4 cup,cup,cup,No Match,
4,../data/AL/45.ann,5 cups,cup,cup,No Match,
5,../data/AL/45.ann,6 ounce,ounce,ounce,Full Term Match,'ounce:UO_0010033'
6,../data/AL/45.ann,7 can,can,can,No Match,
7,../data/AL/45.ann,8 ounce,ounce,ounce,Full Term Match,'ounce:UO_0010033'
8,../data/AL/45.ann,9 box,box,box,No Match,
9,../data/AL/45.ann,10 ounce,ounce,ounce,Full Term Match,'ounce:UO_0010033'
10,../data/AL/45.ann,11 can,can,can,No Match,
0,../data/AL/24.ann,1 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
1,../data/AL/24.ann,2 cup,cup,cup,No Match,
2,../data/AL/24.ann,3 tablespoon,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
3,../data/AL/24.ann,4 cups,cup,cup,No Match,
0,../data/AL/30.ann,1 cups,cup,cup,No Match,
1,../data/AL/30.ann,2 cup,cup,cup,No Match,
2,../data/AL/30.ann,3 tablespoon,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
3,../data/AL/30.ann,4 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
4,../data/AL/30.ann,5 can,can,can,No Match,
5,../data/AL/30.ann,6 ounce,ounce,ounce,Full Term Match,'ounce:UO_0010033'
0,../data/AL/20.ann,1 slice,slice,slice,No Match,
1,../data/AL/20.ann,2 slices,slice,slice,No Match,
2,../data/AL/20.ann,3 slices,slice,slice,No Match,
0,../data/AL/43.ann,1 cup,cup,cup,No Match,
1,../data/AL/43.ann,2 ounces,ounce,ounce,Full Term Match,'ounce:UO_0010033'
2,../data/AL/43.ann,3 ounces,ounce,ounce,Full Term Match,'ounce:UO_0010033'
3,../data/AL/43.ann,4 ounces,ounce,ounce,Full Term Match,'ounce:UO_0010033'
0,../data/AL/3.ann,1 sheet,sheet,sheet,No Match,
1,../data/AL/3.ann,2 pieces,piece,piece,No Match,
2,../data/AL/3.ann,3 slices,slice,slice,No Match,
0,../data/AL/7.ann,1 cups,cup,cup,No Match,
1,../data/AL/7.ann,2 cups,cup,cup,No Match,
2,../data/AL/7.ann,3 cup,cup,cup,No Match,
0,../data/AL/15.ann,1 ounces,ounce,ounce,Full Term Match,'ounce:UO_0010033'
1,../data/AL/15.ann,2 tablespoon,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
2,../data/AL/15.ann,3 cup,cup,cup,No Match,
3,../data/AL/15.ann,4 ounces,ounce,ounce,Full Term Match,'ounce:UO_0010033'
0,../data/AL/38.ann,1 cups,cup,cup,No Match,
1,../data/AL/38.ann,2 cups,cup,cup,No Match,
2,../data/AL/38.ann,3 lbs,pound,pound,Full Term Match,'pound:UO_0010034'
0,../data/AL/49.ann,1 cup,cup,cup,No Match,
1,../data/AL/49.ann,2 cup,cup,cup,No Match,
2,../data/AL/49.ann,3 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
3,../data/AL/49.ann,4 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
4,../data/AL/49.ann,5 head,head,head,Full Term Match,'head:UBERON_0000033'
0,../data/AL/27.ann,1 cup,cup,cup,No Match,
1,../data/AL/27.ann,2 bags,bag,bag,Full Term Match,'bag:NCIT_C43167'
2,../data/AL/27.ann,3 tablespoon,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
3,../data/AL/27.ann,4 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
4,../data/AL/27.ann,5 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
0,../data/AL/11.ann,1 ounce,ounce,ounce,Full Term Match,'ounce:UO_0010033'
1,../data/AL/11.ann,2 ounce,ounce,ounce,Full Term Match,'ounce:UO_0010033'
2,../data/AL/11.ann,3 ounces,ounce,ounce,Full Term Match,'ounce:UO_0010033'
0,../data/AL/5.ann,1 ounces,ounce,ounce,Full Term Match,'ounce:UO_0010033'
1,../data/AL/5.ann,2 tablespoons,tablespoon,tablespoon,Full Term Match,'tablespoon:UO_0010042'
2,../data/AL/5.ann,3 cup,cup,cup,No Match,
3,../data/AL/5.ann,4 lb.,pound,pound,Full Term Match,'pound:UO_0010034'
0,../data/AL/21.ann,1 cup,cup,cup,No Match,
1,../data/AL/21.ann,2 sticks,stick,stick,No Match,
2,../data/AL/21.ann,3 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
3,../data/AL/21.ann,4 teaspoon,teaspoon,teaspoon,Full Term Match,'teaspoon:UO_0010040'
4,../data/AL/21.ann,5 cups,cup,cup,No Match,
